"","ticker","mc","ivol","rnd"
"305","ALXN US Equity",626020672,69.29599762,13603.94043
"325","KERX US Equity",551888448,80.11889648,8203.658203
"314","ILMN US Equity",580213568,124.7858963,36.18569565
"292","MNTA US Equity",671397888,87.58039856,212.2421417
"293","AMED US Equity",667615872,56.23669815,0
"223","VPHM US Equity",1237829376,81.42939758,7.053466797
"41","UNH US Equity",84821098496,26.29299927,0
"20","LCAV US Equity",981257280,50.76490021,0
"341","ARNA US Equity",502860608,63.9844017,280.1564941
"8","GSK LN Equity",1.46897e+11,21.52129936,14.6773901
"162","VRTX US Equity",2742833152,63.4219017,175.6290283
"27","CNC US Equity",1121867904,45.53039932,0
"272","EXEL US Equity",783097792,61.7928009,244.4583435
"262","LGND US Equity",826564032,61.78530121,28.84752846
"313","NVLN CN Equity",594186944,61.7336998,28.44409561
"309","PGNX US Equity",612574912,58.145401,358.7599182
"322","GERN US Equity",558050304,45.4856987,1810.252563
"58","ANTM US Equity",52989337600,26.12439919,0
"206","NKTR US Equity",1442289408,56.72669983,106.1533813
"39","MOH US Equity",739651584,40.35449982,0
"10","VIVO US Equity",524852416,54.67210007,3.745603085
"5","ISRG US Equity",4159965696,53.17490005,7.535236835
"9","HOLX US Equity",1680015232,53.45209885,5.529488087
"269","BMRN US Equity",796520192,51.34389877,183.3223419
"230","CBST US Equity",1141182720,51.63579941,37.05797577
