"","ticker","mc","ivol","rnd"
"288","MNKD US Equity",567745792,87.28949738,72722.85938
"110","ARIA US Equity",3196490752,52.97000122,45672.94141
"178","VVUS US Equity",1349896320,73.53220367,22682.92773
"239","SRPT US Equity",784405120,95.8404007,144.0982361
"266","IDIX US Equity",649331136,87.54180145,41.76045609
"269","ITMN US Equity",639692160,79.29779816,347.4250183
"150","ARNA US Equity",1959982848,74.938797,782.4242554
"260","SPPI US Equity",666051392,72.19259644,14.74899292
"168","QCOR US Equity",1561821440,64.83209991,5.698345184
"201","IONS US Equity",1056640768,60.46030045,315.0676575
"101","PCYC US Equity",4032876288,58.55260086,724.6820679
"231","EXEL US Equity",839037824,58.62739944,230.4514313
"275","MNTA US Equity",609481728,57.07799911,396.5699768
"238","NPSP US Equity",788490432,56.75189972,66.46063995
"36","THC US Equity",3457259520,38.57820129,0
"104","MDVN US Equity",3800850432,53.26480103,49.45368576
"124","SGEN US Equity",2759394048,48.25719833,83.06309509
"62","REGN US Equity",16522009600,45.10710144,37.01187897
"77","VRTX US Equity",9085056000,46.3302002,59.57066345
"15","ALGN US Equity",2258422528,47.77420044,7.291056156
"13","SAN FP Equity",1.24862e+11,21.57670021,12.43506527
"2","VPHM US Equity",1500070656,44.2336998,18.18271637
"3","ALXN US Equity",18212331520,40.19039917,18.45404816
"139","INCY US Equity",2179358208,43.19739914,82.7861557
"24","BAYN GR Equity",78514667520,25.23310089,7.666839123
"5","GILD US Equity",55649259520,29.92860031,19.19688416
"87","BMRN US Equity",6092244480,40.3716011,51.67854309
"31","ABT US Equity",1.03534e+11,17.81690025,6.660345078
"18","GSK LN Equity",1.06412e+11,17.14189911,14.30978966
"23","ISRG US Equity",19498680320,34.90029907,9.241353989
"4","BIIB US Equity",34630688768,31.13879967,21.9563446
"11","AMGN US Equity",66146025472,23.66360092,20.37508774
"55","CELG US Equity",33191813120,29.03759956,31.11465073
"49","RHK GR Equity",2795952384,26.45849991,0
"21","BSX US Equity",7867196416,33.24959946,12.68011475
"33","NOBN SW Equity",1049571392,34.22190094,6.34172821
"26","A US Equity",14244439040,31.36160088,10.07357121
"30","1255459D US Equity",8435955200,31.79100037,9.307789803
"224","MOR GR Equity",902781888,32.74399948,57.93193054
"10","LLY US Equity",57233518592,20.76250076,24.6174202
"19","EW US Equity",10406609920,30.38400078,16.47689247
"126","CBST US Equity",2708158720,31.82579994,29.4721241
"34","BAX US Equity",36621533184,24.5529995,8.340522766
"32","MDT US Equity",41485897728,23.51059914,9.450549126
"25","STJ US Equity",11137527808,29.88199997,12.82051277
"8","BMY US Equity",53795950592,20.73769951,25.45503235
"40","DHR US Equity",38721253376,23.42000008,6.556769848
"38","HSP US Equity",5161469440,29.60560036,6.659959793
"39","PHIA NA Equity",25148983296,25.2364006,7.197649956
"22","AZN LN Equity",58909073408,17.32250023,18.01855659
"14","ATLN SW Equity",6029751808,28.19149971,23.2960434
"29","MRK GR Equity",28661786624,23.17060089,13.62383842
"16","1284849D US Equity",28210178048,22.99790001,20.74404144
"42","COV US Equity",27333480448,22.96240044,5.098300934
"37","AGN US Equity",10987084800,26.26339912,8.753500938
"41","MYL US Equity",11186637824,25.9239006,5.981416225
"20","ILMN US Equity",6858911232,26.6473999,18.90903091
"44","SAZ GR Equity",1912771840,27.63850021,2.874201059
"12","FRX US Equity",9395798016,24.82600021,27.17950249
"35","AFX GR Equity",2335636736,26.07069969,11.24436283
"48","FRE GR Equity",20489684992,22.11969948,1.521381974
"43","SYK US Equity",20842596352,21.80529976,5.55555582
"45","ZBH US Equity",11565649920,22.81080055,5.216967106
"46","GRF SM Equity",10692517888,22.93300056,4.926331043
"50","FME GR Equity",21112879104,20.20509911,0.815316021
"47","DRW3 GR Equity",1406574592,18.66379929,8.911698341
